t	x	y	theta	v	omega	v	omega
4.379	1.94452	0.368862	0.670825	0.499965	0.265142	0.5	0.248089
4.4	1.95273	0.375411	0.676393	0.499903	0.265369	0.5	0.21943
4.421	1.9609	0.382005	0.681889	0.500146	0.239606	0.5	0.21943
4.441	1.96865	0.388326	0.686658	0.49994	0.232016	0.5	0.21943
4.462	1.97675	0.395001	0.691548	0.499945	0.236402	0.5	0.21943
4.478	1.98597	0.402679	0.697222	0.500003	0.236402	0.5	0.21943
4.507	1.99401	0.40944	0.702171	0.499904	0.235746	0.5	0.21943
4.527	2.00163	0.415915	0.706885	0.500112	0.235748	0.5	0.21943
4.547	2.00922	0.422428	0.711601	0.499956	0.235817	0.5	0.21943
4.568	2.01715	0.429303	0.716552	0.499928	0.235671	0.5	0.21943
4.588	2.02468	0.435888	0.721266	0.500126	0.235671	0.5	0.21943
4.6	2.03217	0.442508	0.725966	0.499936	0.234992	0.5	0.191343
4.628	2.04001	0.449496	0.730883	0.499932	0.202046	0.5	0.191343
4.649	2.04744	0.456186	0.734929	0.500135	0.206844	0.5	0.191343
4.668	2.05485	0.462906	0.739066	0.499904	0.207523	0.5	0.191343
4.684	2.06259	0.469995	0.743423	0.499946	0.207225	0.5	0.191343
4.709	2.06994	0.476777	0.747567	0.500121	0.206756	0.5	0.191343
4.73	2.07726	0.483591	0.751703	0.499955	0.207475	0.5	0.191343
4.751	2.08492	0.490776	0.756058	0.499938	0.206861	0.5	0.191343
4.77	2.09218	0.497652	0.760195	0.500175	0.206672	0.5	0.191343
4.79	2.09941	0.504556	0.764332	0.499938	0.207906	0.5	0.164114
4.811	2.10698	0.511839	0.768651	0.499916	0.196198	0.5	0.164114
4.833	2.11451	0.519152	0.772659	0.500089	0.173851	0.5	0.164114
4.853	2.12166	0.526145	0.776163	0.499956	0.179189	0.5	0.164114
4.874	2.12914	0.533514	0.779926	0.499973	0.179244	0.5	0.164114
4.894	2.13624	0.540558	0.783506	0.500077	0.178386	0.5	0.164114
4.915	2.14366	0.547982	0.787259	0.499904	0.179292	0.5	0.164114
4.936	2.15106	0.555434	0.791024	0.500007	0.179307	0.5	0.164114
4.956	2.15808	0.562556	0.794603	0.500011	0.17846	0.5	0.164114
4.974	2.16507	0.569704	0.798178	0.499972	0.179205	0.5	0.136884
4.997	2.17239	0.577236	0.801946	0.500011	0.17973	0.5	0.136884
