t	x	y	theta	v	omega	v	omega
3.342	1.08045	0.887351	1.15707	0.500034	-0.0937215	0.5	-0.15968
3.364	1.08447	0.896504	1.1552	0.500003	-0.0936854	0.5	-0.15968
3.385	1.08872	0.906106	1.15324	0.499979	-0.0931636	0.5	-0.23822
3.406	1.09299	0.915699	1.15094	0.499996	-0.111047	0.5	-0.23822
3.425	1.09708	0.924823	1.1473	0.499981	-0.185759	0.5	-0.23822
3.446	1.10121	0.933933	1.14383	0.499956	-0.172956	0.5	-0.23822
3.467	1.10557	0.943483	1.14023	0.500069	-0.170882	0.5	-0.23822
3.486	1.10976	0.952564	1.13679	0.499974	-0.172433	0.5	-0.23822
3.508	1.11419	0.962082	1.13318	0.499946	-0.171939	0.5	-0.23822
3.528	1.11866	0.971585	1.12957	0.499988	-0.171892	0.5	-0.23822
3.549	1.12294	0.980621	1.12612	0.499983	-0.172371	0.5	-0.23822
3.569	1.12748	0.990091	1.12251	0.499931	-0.171931	0.5	-0.31676
3.591	1.13204	0.999546	1.1189	0.500074	-0.171973	0.5	-0.31676
3.612	1.13665	1.00898	1.11422	0.499994	-0.231068	0.5	-0.31676
3.633	1.1413	1.01839	1.10888	0.499947	-0.260056	0.5	-0.31676
3.651	1.14578	1.02734	1.10388	0.500086	-0.248959	0.5	-0.31676
3.673	1.1503	1.03625	1.09888	0.499936	-0.250526	0.5	-0.31676
3.694	1.1551	1.04559	1.09361	0.499914	-0.250724	0.5	-0.31676
3.715	1.15994	1.05491	1.08835	0.500052	-0.250518	0.5	-0.31676
3.735	1.1646	1.06376	1.08334	0.500004	-0.250557	0.5	-0.31676
3.756	1.16955	1.07302	1.07808	0.499901	-0.250619	0.5	-0.31676
3.777	1.17454	1.08226	1.07282	0.500027	-0.250518	0.5	-0.31676
3.797	1.17933	1.09103	1.06781	0.500118	-0.250616	0.5	-0.385615
3.818	1.18442	1.10022	1.06111	0.499933	-0.325927	0.5	-0.385615
3.837	1.18933	1.10893	1.05438	0.499936	-0.337021	0.5	-0.385615
3.859	1.19454	1.11804	1.0475	0.500109	-0.327387	0.5	-0.385615
3.879	1.19957	1.12669	1.04092	0.499845	-0.328895	0.5	-0.385615
3.899	1.20491	1.13573	1.03401	0.499916	-0.329158	0.5	-0.385615
3.92	1.2103	1.14474	1.02709	0.500062	-0.329088	0.5	-0.385615
3.941	1.2155	1.15328	1.02051	0.500088	-0.329117	0.5	-0.385615
3.961	1.22102	1.16221	1.0136	0.499932	-0.329123	0.5	-0.380026
3.982	1.22687	1.17153	1.00636	0.500043	-0.329115	0.5	-0.380026
4.001	1.23252	1.18038	0.999112	0.500021	-0.385198	0.5	-0.380026
4.025	1.23823	1.18919	0.990868	0.499954	-0.407398	0.5	-0.380026
4.044	1.24402	1.19795	0.982399	0.50001	-0.3966	0.5	-0.380026
4.068	1.24989	1.20666	0.974062	0.500091	-0.397557	0.5	-0.380026
4.088	1.25554	1.21491	0.966105	0.499786	-0.398152	0.5	-0.380026
4.106	1.26269	1.22516	0.956153	0.500092	-0.398043	0.5	-0.380026
4.13	1.26878	1.23371	0.947796	0.500041	-0.397916	0.5	-0.380026
4.155	1.27494	1.24222	0.939438	0.500001	-0.397995	0.5	-0.380026
4.175	1.28087	1.25027	0.931478	0.500057	-0.398017	0.5	-0.380026
4.196	1.28717	1.25867	0.923122	0.500006	-0.397905	0.5	-0.301486
4.216	1.29324	1.26662	0.915253	0.499805	-0.392628	0.5	-0.301486
4.237	1.29967	1.27492	0.907023	0.500024	-0.39182	0.5	-0.301486
4.258	1.30617	1.28316	0.898783	0.499979	-0.392438	0.5	-0.301486
4.277	1.31242	1.29097	0.890935	0.500052	-0.392365	0.5	-0.301486
4.298	1.31906	1.2991	0.882694	0.500027	-0.392437	0.5	-0.301486
4.32	1.32576	1.30719	0.874454	0.499985	-0.392455	0.5	-0.301486
4.341	1.33252	1.31522	0.866212	0.500046	-0.392354	0.5	-0.301486
4.361	1.33903	1.32281	0.858365	0.500073	-0.392447	0.5	-0.222946
4.382	1.34592	1.33073	0.850124	0.499937	-0.392376	0.5	-0.222946
4.399	1.35255	1.33822	0.842355	0.50004	-0.313196	0.5	-0.222946
4.421	1.35923	1.34566	0.836098	0.500063	-0.306839	0.5	-0.222946
4.442	1.36629	1.35343	0.829628	0.499885	-0.315668	0.5	-0.222946
4.464	1.37341	1.36116	0.823005	0.499919	-0.314128	0.5	-0.222946
4.484	1.38057	1.36883	0.816411	0.500105	-0.313602	0.5	-0.222946
4.505	1.38744	1.3761	0.810138	0.500124	-0.313834	0.5	-0.222946
4.526	1.3947	1.38368	0.803547	0.499895	-0.313818	0.5	-0.222946
4.546	1.40202	1.39122	0.796957	0.500048	-0.313805	0.5	-0.222946
4.566	1.40903	1.39835	0.790681	0.500177	-0.31378	0.5	-0.222946
