t	x	y	theta	v	omega	v	omega
2.323	1.02055	-0.0121223	-0.024473	0.499894	-0.0124212	0.5	0
2.343	1.03104	-0.0123806	-0.024733	0.500057	-0.0122621	0.5	0
2.365	1.04154	-0.0126415	-0.024991	0.500059	-0.0123432	0.5	0
2.386	1.05204	-0.0129052	-0.0252503	0.4999	-0.0123584	0.5	0
2.406	1.06253	-0.0131716	-0.0255099	0.500096	-0.0123697	0.5	0
2.426	1.07303	-0.0134407	-0.0257705	0.499991	-0.0124541	0.5	0
2.449	1.08353	-0.0137126	-0.0260326	0.499937	-0.0125183	0.5	0
2.47	1.09402	-0.0139872	-0.0262923	0.5001	-0.0122272	0.5	0
2.491	1.10452	-0.0142645	-0.0265527	0.499975	-0.012532	0.5	0
2.512	1.11502	-0.0145446	-0.0268179	0.499943	-0.0126857	0.5	0
2.533	1.12551	-0.0148275	-0.0270718	0.500067	-0.0117884	0.5	0
2.554	1.13601	-0.015113	-0.0273297	0.49993	-0.0124793	0.5	0
2.575	1.14651	-0.0154012	-0.0275943	0.499998	-0.012639	0.5	0
2.596	1.157	-0.0156922	-0.0278495	0.5	-0.0120382	0.5	0
2.616	1.1675	-0.0159859	-0.0281061	0.499972	-0.0122635	0.5	0
2.637	1.17799	-0.0162823	-0.0283713	0.500038	-0.0126629	0.5	0
2.659	1.18849	-0.0165814	-0.0286297	0.499992	-0.012291	0.5	0
2.68	1.19898	-0.0168832	-0.0288809	0.499956	-0.0125991	0.5	0
2.701	1.20948	-0.0171878	-0.029146	0.500001	-0.0128557	0.5	0
2.722	1.21998	-0.0174951	-0.0294133	0.500023	-0.0119829	0.5	0
2.743	1.23047	-0.0178052	-0.0296654	0.500035	-0.0120948	0.5	0
2.764	1.24097	-0.0181179	-0.0299233	0.499937	-0.0128748	0.5	0
2.785	1.25146	-0.0184334	-0.0301893	0.500055	-0.012154	0.5	0
2.806	1.26196	-0.0187516	-0.0304447	0.499993	-0.012177	0.5	0
2.827	1.27245	-0.0190725	-0.0307051	0.499926	-0.012757	0.5	0
2.848	1.28295	-0.0193962	-0.0309691	0.500082	-0.0123216	0.5	0
2.867	1.29344	-0.0197226	-0.0312265	0.49997	-0.0121896	0.5	0
2.89	1.30394	-0.0200517	-0.0314841	0.499918	-0.0123362	0.5	0
2.911	1.31443	-0.0203835	-0.031749	0.500153	-0.0128261	0.5	0
2.932	1.32493	-0.0207182	-0.0320117	0.499935	-0.0123147	0.5	0
2.953	1.33542	-0.0210555	-0.0322708	0.499974	-0.0123473	0.5	0
2.974	1.34592	-0.0213956	-0.0325293	0.500126	-0.0122919	0.5	0
2.995	1.35641	-0.0217384	-0.032788	0.499882	-0.0123289	0.5	0
3.016	1.3669	-0.0220839	-0.0330478	0.500018	-0.0123831	0.5	0
3.037	1.3774	-0.0224322	-0.03331	0.500048	-0.0125025	0.5	0
3.058	1.38789	-0.0227831	-0.0335683	0.499909	-0.0122799	0.5	0
3.079	1.39839	-0.0231368	-0.0338306	0.500022	-0.0125	0.5	0
3.1	1.40888	-0.0234933	-0.0340931	0.500006	-0.0118438	0.5	0
3.121	1.41937	-0.0238525	-0.0343431	0.49994	-0.0124928	0.5	0
3.142	1.42987	-0.0242143	-0.0346059	0.500054	-0.0126442	0.5	0
3.163	1.44036	-0.0245789	-0.0348688	0.500006	-0.0119849	0.5	0
3.184	1.45085	-0.0249462	-0.0351213	0.499936	-0.0121517	0.5	0
3.205	1.46135	-0.0253162	-0.0353797	0.50005	-0.0126743	0.5	0
3.226	1.47184	-0.0256889	-0.0356433	0.499974	-0.0123217	0.5	0
3.247	1.48234	-0.0260644	-0.035898	0.499979	-0.0118119	0.5	0
