t	x	y	theta	v	omega	v	omega
4.194	1.95414	-0.0441052	-0.0190484	0.500078	0.113159	0.5	0.1884
4.214	1.96464	-0.0442931	-0.0165963	0.499887	0.120049	0.5	0.1884
4.236	1.97514	-0.0444538	-0.013708	0.500032	0.150654	0.5	0.1884
4.257	1.98564	-0.0445821	-0.010619	0.500103	0.144901	0.5	0.1884
4.278	1.99614	-0.0446784	-0.0075929	0.499922	0.143703	0.5	0.1884
4.299	2.00664	-0.044743	-0.00455222	0.500167	0.145231	0.5	0.2198
4.319	2.01664	-0.0447745	-0.00158789	0.499968	0.149212	0.5	0.2198
4.34	2.02714	-0.0447736	0.00204933	0.49995	0.180697	0.5	0.2198
4.361	2.03764	-0.0447334	0.00577859	0.500029	0.176851	0.5	0.2198
4.381	2.04814	-0.0446543	0.00947228	0.499971	0.17573	0.5	0.2512
4.403	2.05864	-0.0445364	0.0131603	0.500026	0.175607	0.5	0.2512
4.423	2.06913	-0.0443788	0.0170445	0.499977	0.18543	0.5	0.2512
4.445	2.07963	-0.0441774	0.0215222	0.499954	0.207062	0.5	0.2512
4.464	2.09063	-0.0439168	0.0260774	0.499982	0.207013	0.5	0.2512
4.488	2.10113	-0.0436213	0.0304291	0.499995	0.208116	0.5	0.2826
4.509	2.11162	-0.04328	0.0348048	0.5	0.209173	0.5	0.2826
4.529	2.12211	-0.0428924	0.0394033	0.499946	0.243478	0.5	0.2826
4.55	2.1326	-0.0424533	0.0444937	0.499994	0.240244	0.5	0.2826
4.572	2.14309	-0.0419611	0.0495193	0.499943	0.237809	0.5	0.2826
4.59	2.15358	-0.0414164	0.0545212	0.500013	0.238683	0.5	0.314
4.614	2.16406	-0.0408189	0.0596361	0.50006	0.248943	0.5	0.314
4.635	2.17454	-0.0401663	0.0651617	0.499901	0.276015	0.5	0.314
4.656	2.18502	-0.0394538	0.0708879	0.500067	0.270169	0.5	0.314
4.677	2.19549	-0.0386818	0.0765608	0.499911	0.270124	0.5	0.3454
4.698	2.20596	-0.0378505	0.0822407	0.499976	0.270644	0.5	0.3454
4.719	2.21642	-0.0369592	0.0880146	0.500143	0.276667	0.5	0.3454
4.74	2.22687	-0.0360055	0.0943126	0.499866	0.307167	0.5	0.3454
4.761	2.23732	-0.034985	0.100678	0.500078	0.302155	0.5	0.3454
4.782	2.24777	-0.0338981	0.107	0.499908	0.300866	0.5	0.3454
4.803	2.2582	-0.0327453	0.113337	0.499963	0.301863	0.5	0.3768
4.824	2.26863	-0.031526	0.11972	0.500112	0.304029	0.5	0.3768
4.845	2.27905	-0.0302369	0.126789	0.499849	0.334092	0.5	0.3768
4.866	2.28947	-0.0288745	0.133802	0.500047	0.332597	0.5	0.3768
4.886	2.29987	-0.027439	0.140786	0.499986	0.332339	0.5	0.4082
4.906	2.31026	-0.0259312	0.147768	0.499917	0.333101	0.5	0.4082
4.928	2.32064	-0.0243504	0.154942	0.500321	0.368877	0.5	0.4082
4.95	2.33101	-0.0226918	0.162664	0.499852	0.36476	0.5	0.4082
4.971	2.34136	-0.0209537	0.170317	0.500017	0.363826	0.5	0.4396
4.992	2.3517	-0.0191362	0.177963	0.500025	0.364512	0.5	0.4396
5.013	2.36203	-0.0172399	0.185636	0.499898	0.366537	0.5	0.4396
5.034	2.37234	-0.0152633	0.193675	0.500098	0.400679	0.5	0.4396
5.055	2.38264	-0.0132012	0.202045	0.49985	0.396633	0.5	0.4396
5.072	2.39292	-0.0110534	0.210366	0.500015	0.39599	0.5	0.4396
5.097	2.40318	-0.00882005	0.21868	0.500002	0.39586	0.5	0.471
5.119	2.4139	-0.00638874	0.227527	0.499929	0.405064	0.5	0.471
5.141	2.42461	-0.00385989	0.23692	0.500284	0.433396	0.5	0.471
5.163	2.43529	-0.00123013	0.246341	0.499889	0.427383	0.5	0.471
5.185	2.44595	0.00150011	0.255723	0.500099	0.428034	0.5	0.5024
5.206	2.45658	0.0043303	0.265152	0.499865	0.43196	0.5	0.5024
5.227	2.46718	0.00726121	0.274813	0.500303	0.463493	0.5	0.5024
5.251	2.47775	0.0102977	0.284982	0.49987	0.459503	0.5	0.5024
5.273	2.48829	0.013441	0.295078	0.500257	0.458108	0.5	0.5024
5.296	2.49928	0.0168408	0.305614	0.499888	0.45802	0.5	0.5338
5.319	2.51023	0.0203564	0.316234	0.500079	0.463732	0.5	0.5338
5.342	2.52114	0.0239907	0.327464	0.499871	0.495066	0.5	0.5338
5.365	2.53201	0.0277484	0.338743	0.500038	0.490299	0.5	0.5338
5.387	2.54283	0.0316282	0.350019	0.499889	0.489943	0.5	0.5652
5.404	2.55361	0.0356299	0.36131	0.500032	0.493757	0.5	0.5652
5.435	2.56481	0.0399364	0.373532	0.499945	0.527557	0.5	0.5652
5.459	2.57596	0.0443828	0.386108	0.499934	0.52184	0.5	0.5652
5.483	2.58705	0.0489682	0.398596	0.500002	0.51994	0.5	0.5966
5.507	2.59854	0.0538917	0.411686	0.49993	0.5303	0.5	0.5966
5.533	2.60996	0.0589672	0.425187	0.499927	0.557277	0.5	0.5966
5.558	2.62131	0.064199	0.439077	0.499983	0.554316	0.5	0.5966
5.584	2.63304	0.0698064	0.453435	0.499965	0.551617	0.5	0.5966
5.61	2.64469	0.0755816	0.467838	0.499914	0.561097	0.5	0.628
5.637	2.65669	0.0817584	0.483346	0.499928	0.588643	0.5	0.628
5.664	2.6686	0.0881231	0.499165	0.499956	0.584949	0.5	0.628
5.692	2.68084	0.0949214	0.515499	0.499935	0.583004	0.5	0.628
5.721	2.69339	0.102173	0.532547	0.499955	0.592411	0.5	0.628
5.751	2.70625	0.109903	0.550988	0.499928	0.614659	0.5	0.628
5.782	2.71938	0.118139	0.570068	0.499972	0.616227	0.5	0.628
5.814	2.73276	0.126902	0.589757	0.499998	0.616119	0.5	0.628
5.846	2.7468	0.136499	0.610711	0.499919	0.614431	0.5	0.628
5.884	2.76143	0.146979	0.632863	0.499914	0.61619	0.5	0.628
5.922	2.77662	0.15839	0.656254	0.499961	0.614139	0.5	0.628
5.964	2.79309	0.171412	0.682115	0.49997	0.615351	0.5	0.628
6.012	2.8115	0.18681	0.711643	0.499986	0.614867	0.5	0.628
6.073	2.83423	0.20715	0.749194	0.499871	0.614464	0.5	0.628
6.174	2.87012	0.242659	0.811358	0.499947	0.616237	0.5	0.628
6.274	2.90342	0.279945	0.872906	0.500053	0.616118	0.5	0.628
6.375	2.93466	0.319612	0.935082	0.500012	0.615675	0.5	0.628
6.476	2.96338	0.361143	0.997237	0.499916	0.61414	0.5	0.628
6.576	2.98921	0.403941	1.05879	0.499831	0.615821	0.5	0.628
6.678	3.0128	0.449149	1.12159	0.499863	0.615654	0.5	0.628
6.779	3.03332	0.495285	1.18377	0.500018	0.615667	0.5	0.628
6.88	3.05093	0.542606	1.24593	0.500448	0.615487	0.5	0.628
6.98	3.06543	0.590446	1.30749	0.499939	0.615439	0.5	0.628
7.081	3.07707	0.639579	1.36966	0.499845	0.615326	0.5	0.628
7.182	3.08563	0.68934	1.43184	0.499869	0.615614	0.5	0.628
7.282	3.09104	0.739038	1.49342	0.500042	0.616731	0.5	0.628
7.383	3.09339	0.789475	1.55558	0.500328	0.614706	0.5	0.628
7.484	3.09261	0.83996	1.61775	0.499939	0.614711	0.5	0.628
7.584	3.08874	0.889802	1.67932	0.499898	0.615375	0.5	0.628
7.685	3.08173	0.939804	1.74148	0.499938	0.616681	0.5	0.628
7.785	3.07174	0.988788	1.80303	0.49995	0.616163	0.5	0.628
7.886	3.05861	1.03754	1.86517	0.49988	0.61393	0.5	0.628
7.986	3.04266	1.08492	1.92673	0.499947	0.614543	0.5	0.628
8.088	3.02341	1.13214	1.98951	0.500012	0.614011	0.5	0.628
8.189	3.00147	1.17762	2.05167	0.500087	0.615611	0.5	0.628
8.29	2.97675	1.22164	2.11384	0.499977	0.615675	0.5	0.628
8.39	2.94963	1.26363	2.1754	0.499863	0.615532	0.5	0.628
8.491	2.91966	1.30427	2.23757	0.499835	0.615831	0.5	0.628
8.591	2.88756	1.3426	2.29912	0.500393	0.614886	0.5	0.628
8.691	2.85316	1.37887	2.36065	0.500344	0.614873	0.5	0.628
8.774	2.82296	1.40733	2.41174	0.499896	0.616836	0.5	0.628
8.827	2.80294	1.42468	2.44436	0.499971	0.616691	0.5	0.628
8.872	2.78549	1.43889	2.47206	0.49998	0.614359	0.5	0.628
8.912	2.76966	1.45112	2.49669	0.500011	0.614721	0.5	0.628
8.949	2.75476	1.46207	2.51946	0.499936	0.616764	0.5	0.628
8.984	2.74043	1.47212	2.541	0.500256	0.614496	0.5	0.628
9.017	2.72673	1.48131	2.56134	0.499891	0.616624	0.5	0.628
9.047	2.71242	1.49049	2.58226	0.500349	0.616347	0.5	0.628
9.081	2.69963	1.49833	2.60073	0.500358	0.615371	0.5	0.628
9.11	2.68714	1.50569	2.61858	0.499986	0.616253	0.5	0.628
9.137	2.67495	1.51258	2.63582	0.499927	0.615124	0.5	0.628
9.166	2.66265	1.51926	2.65305	0.4999	0.615533	0.5	0.628
9.193	2.65068	1.5255	2.66968	0.499878	0.61453	0.5	0.628
9.219	2.63905	1.53132	2.68568	0.499982	0.615698	0.5	0.628
9.245	2.62734	1.53696	2.70169	0.500404	0.616087	0.5	0.628
9.27	2.61599	1.54219	2.71706	0.499887	0.615866	0.5	0.628
9.295	2.60456	1.54726	2.73245	0.499897	0.615956	0.5	0.628
9.32	2.59306	1.55215	2.74785	0.500097	0.615503	0.5	0.628
9.344	2.58194	1.55667	2.76262	0.499886	0.615742	0.5	0.628
9.368	2.57076	1.56103	2.7774	0.499901	0.615684	0.5	0.628
9.392	2.55952	1.56523	2.79218	0.500018	0.615615	0.5	0.628
9.415	2.54869	1.56909	2.80634	0.49985	0.61581	0.5	0.628
9.438	2.5378	1.5728	2.8205	0.500437	0.615734	0.5	0.628
9.461	2.52687	1.57636	2.83466	0.499844	0.615605	0.5	0.628
9.484	2.51588	1.57976	2.84882	0.500106	0.61563	0.5	0.628
9.506	2.50533	1.58286	2.86237	0.499866	0.615729	0.5	0.628
9.526	2.49474	1.58583	2.87591	0.500111	0.615622	0.5	0.628
9.55	2.48411	1.58865	2.88945	0.499866	0.615552	0.5	0.628
9.572	2.47344	1.59132	2.90299	0.500441	0.61547	0.5	0.628
9.594	2.46273	1.59385	2.91654	0.499858	0.616679	0.5	0.628
9.616	2.45199	1.59624	2.9301	0.500078	0.615547	0.5	0.628
9.637	2.44171	1.59838	2.94302	0.499852	0.615147	0.5	0.628
9.658	2.43141	1.60039	2.95596	0.49999	0.616857	0.5	0.628
9.679	2.42108	1.60226	2.96889	0.499926	0.615406	0.5	0.628
9.699	2.41072	1.604	2.98181	0.499911	0.614926	0.5	0.628
9.721	2.40035	1.60561	2.99476	0.500042	0.616969	0.5	0.628
9.742	2.38995	1.60708	3.00768	0.499872	0.615258	0.5	0.628
9.763	2.37954	1.60842	3.0206	0.500352	0.614761	0.5	0.628
9.784	2.3691	1.60962	3.03353	0.499887	0.61601	0.5	0.628
9.804	2.35866	1.61069	3.04645	0.499959	0.615015	0.5	0.628
9.826	2.3482	1.61162	3.05935	0.500323	0.614695	0.5	0.628
9.847	2.33773	1.61242	3.07229	0.499901	0.614716	0.5	0.628
9.868	2.32725	1.61308	3.0852	0.499952	0.616038	0.5	0.628
9.889	2.31677	1.61361	3.09814	0.49988	0.615386	0.5	0.628
9.91	2.30627	1.614	3.11106	0.500007	0.614699	0.5	0.628
9.931	2.29578	1.61426	3.12397	0.499982	0.616481	0.5	0.628
9.952	2.28528	1.61438	3.13691	0.49993	0.615392	0.5	0.628
9.972	2.27528	1.61437	-3.13397	0.499949	0.614321	0.5	0.628
9.993	2.26478	1.61422	-3.12105	0.499909	0.616681	0.5	0.628
10.014	2.25428	1.61394	-3.10812	0.499976	0.615001	0.5	0.628
10.035	2.24379	1.61353	-3.09521	0.499981	0.614207	0.5	0.628
